date,state,district,pincode,bio_age_5_17,bio_age_17_
03-01-2026,Kerala,Kozhikode,673015,0,1
03-01-2026,Kerala,Kozhikode,673307,2,3
03-01-2026,Kerala,Kozhikode,673309,1,1
03-01-2026,Kerala,Kozhikode,673315,1,3
03-01-2026,Kerala,Kozhikode,673509,0,1
03-01-2026,Kerala,Kozhikode,673528,3,1
03-01-2026,Kerala,Kozhikode,673541,3,3
03-01-2026,Kerala,Kozhikode,673542,0,3
03-01-2026,Kerala,Kozhikode,673574,2,4
03-01-2026,Kerala,Kozhikode,673602,5,8
03-01-2026,Kerala,Kozhikode,673604,1,2
03-01-2026,Kerala,Kozhikode,673620,1,5
03-01-2026,Kerala,Kozhikode,673632,2,1
03-01-2026,Kerala,Kozhikode,673661,1,1
02-01-2026,Kerala,Kozhikode,673014,4,3
02-01-2026,Kerala,Kozhikode,673301,2,13
02-01-2026,Kerala,Kozhikode,673302,1,2
02-01-2026,Kerala,Kozhikode,673307,10,4
02-01-2026,Kerala,Kozhikode,673308,0,5
02-01-2026,Kerala,Kozhikode,673315,7,5
02-01-2026,Kerala,Kozhikode,673503,6,5
02-01-2026,Kerala,Kozhikode,673525,8,10
02-01-2026,Kerala,Kozhikode,673526,5,6
02-01-2026,Kerala,Kozhikode,673529,5,9
02-01-2026,Kerala,Kozhikode,673571,15,30
02-01-2026,Kerala,Kozhikode,673574,13,10
02-01-2026,Kerala,Kozhikode,673582,11,9
02-01-2026,Kerala,Kozhikode,673603,11,9
02-01-2026,Kerala,Kozhikode,673655,2,7
14-12-2025,Kerala,Kozhikode,673010,3,2
14-12-2025,Kerala,Kozhikode,673011,3,0
14-12-2025,Kerala,Kozhikode,673028,1,2
14-12-2025,Kerala,Kozhikode,673308,2,1
14-12-2025,Kerala,Kozhikode,673523,1,1
14-12-2025,Kerala,Kozhikode,673526,1,1
14-12-2025,Kerala,Kozhikode,673541,2,1
14-12-2025,Kerala,Kozhikode,673585,1,1
14-12-2025,Kerala,Kozhikode,673612,3,12
19-12-2025,Kerala,Kozhikode,673032,0,1
25-12-2025,Kerala,Kozhikode,673020,2,3
25-12-2025,Kerala,Kozhikode,673586,4,16
29-12-2025,Kerala,Kozhikode,673009,1,0
29-12-2025,Kerala,Kozhikode,673010,6,5
29-12-2025,Kerala,Kozhikode,673012,3,3
29-12-2025,Kerala,Kozhikode,673016,6,3
29-12-2025,Kerala,Kozhikode,673020,2,0
29-12-2025,Kerala,Kozhikode,673027,2,9
29-12-2025,Kerala,Kozhikode,673028,6,3
29-12-2025,Kerala,Kozhikode,673307,2,4
29-12-2025,Kerala,Kozhikode,673315,5,6
29-12-2025,Kerala,Kozhikode,673317,4,8
29-12-2025,Kerala,Kozhikode,673328,2,2
29-12-2025,Kerala,Kozhikode,673501,2,2
29-12-2025,Kerala,Kozhikode,673506,6,9
29-12-2025,Kerala,Kozhikode,673509,2,2
29-12-2025,Kerala,Kozhikode,673522,5,2
29-12-2025,Kerala,Kozhikode,673525,12,11
29-12-2025,Kerala,Kozhikode,673528,5,4
29-12-2025,Kerala,Kozhikode,673542,12,12
29-12-2025,Kerala,Kozhikode,673571,5,23
29-12-2025,Kerala,Kozhikode,673574,8,10
29-12-2025,Kerala,Kozhikode,673602,10,6
29-12-2025,Kerala,Kozhikode,673604,3,4
29-12-2025,Kerala,Kozhikode,673655,0,2
28-12-2025,Kerala,Kozhikode,673001,1,1
28-12-2025,Kerala,Kozhikode,673003,1,4
28-12-2025,Kerala,Kozhikode,673007,1,3
28-12-2025,Kerala,Kozhikode,673015,0,1
28-12-2025,Kerala,Kozhikode,673017,3,4
28-12-2025,Kerala,Kozhikode,673027,2,0
28-12-2025,Kerala,Kozhikode,673029,0,2
