date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Kerala,Kozhikode,673005,24,193
01-03-2025,Kerala,Kozhikode,673003,33,398
01-03-2025,Kerala,Kozhikode,673508,40,344
01-03-2025,Kerala,Kozhikode,673604,11,79
01-03-2025,Kerala,Kozhikode,673631,28,191
01-03-2025,Kerala,Kozhikode,673573,40,381
01-03-2025,Kerala,Kozhikode,673506,38,323
01-03-2025,Kerala,Kozhikode,673016,15,157
01-03-2025,Kerala,Kozhikode,673572,38,439
01-03-2025,Kerala,Kozhikode,673574,22,209
01-03-2025,Kerala,Kozhikode,673616,18,158
01-03-2025,Kerala,Kozhikode,673524,18,197
01-03-2025,Kerala,Kozhikode,673014,17,99
01-09-2025,Kerala,Kozhikode,673006,0,1
01-09-2025,Kerala,Kozhikode,673014,0,8
01-09-2025,Kerala,Kozhikode,673019,2,26
01-09-2025,Kerala,Kozhikode,673105,3,12
01-09-2025,Kerala,Kozhikode,673328,0,3
01-09-2025,Kerala,Kozhikode,673501,0,6
01-09-2025,Kerala,Kozhikode,673503,1,5
01-09-2025,Kerala,Kozhikode,673508,4,24
01-09-2025,Kerala,Kozhikode,673528,1,4
01-09-2025,Kerala,Kozhikode,673573,1,18
01-09-2025,Kerala,Kozhikode,673574,3,10
01-09-2025,Kerala,Kozhikode,673604,0,2
01-09-2025,Kerala,Kozhikode,673612,2,12
01-09-2025,Kerala,Kozhikode,673613,2,8
01-09-2025,Kerala,Kozhikode,673661,1,9
02-09-2025,Kerala,Kozhikode,673005,1,8
02-09-2025,Kerala,Kozhikode,673011,0,5
02-09-2025,Kerala,Kozhikode,673012,3,8
02-09-2025,Kerala,Kozhikode,673016,0,6
02-09-2025,Kerala,Kozhikode,673028,3,6
02-09-2025,Kerala,Kozhikode,673323,0,1
02-09-2025,Kerala,Kozhikode,673507,3,7
02-09-2025,Kerala,Kozhikode,673509,1,10
02-09-2025,Kerala,Kozhikode,673517,0,10
02-09-2025,Kerala,Kozhikode,673524,1,19
02-09-2025,Kerala,Kozhikode,673574,5,10
02-09-2025,Kerala,Kozhikode,673580,0,8
02-09-2025,Kerala,Kozhikode,673616,2,4
