date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Kerala,Kozhikode,673006,0,2,0
01-09-2025,Kerala,Kozhikode,673019,3,0,0
01-09-2025,Kerala,Kozhikode,673328,0,1,0
01-09-2025,Kerala,Kozhikode,673501,1,0,0
01-09-2025,Kerala,Kozhikode,673503,0,1,0
01-09-2025,Kerala,Kozhikode,673508,1,1,0
01-09-2025,Kerala,Kozhikode,673528,1,0,0
01-09-2025,Kerala,Kozhikode,673573,6,4,0
01-09-2025,Kerala,Kozhikode,673574,2,1,0
01-09-2025,Kerala,Kozhikode,673612,2,0,0
01-09-2025,Kerala,Kozhikode,673613,1,0,0
01-09-2025,Kerala,Kozhikode,673661,0,3,2
03-09-2025,Kerala,Kozhikode,673102,1,3,0
03-09-2025,Kerala,Kozhikode,673309,0,1,0
03-09-2025,Kerala,Kozhikode,673505,0,1,0
03-09-2025,Kerala,Kozhikode,673525,0,1,0
03-09-2025,Kerala,Kozhikode,673572,5,1,0
03-09-2025,Kerala,Kozhikode,673582,0,2,0
03-09-2025,Kerala,Kozhikode,673586,1,1,0
03-09-2025,Kerala,Kozhikode,673613,2,2,0
02-09-2025,Kerala,Kozhikode,673012,0,3,0
02-09-2025,Kerala,Kozhikode,673016,2,0,0
02-09-2025,Kerala,Kozhikode,673507,3,0,0
02-09-2025,Kerala,Kozhikode,673509,1,0,0
02-09-2025,Kerala,Kozhikode,673517,0,2,0
02-09-2025,Kerala,Kozhikode,673524,4,0,0
02-09-2025,Kerala,Kozhikode,673574,2,1,0
02-09-2025,Kerala,Kozhikode,673580,1,0,0
02-09-2025,Kerala,Kozhikode,673616,0,1,0
06-09-2025,Kerala,Kozhikode,673029,0,1,0
06-09-2025,Kerala,Kozhikode,673526,1,0,0
06-09-2025,Kerala,Kozhikode,673571,1,0,0
06-09-2025,Kerala,Kozhikode,673661,1,0,0
04-09-2025,Kerala,Kozhikode,673017,1,0,0
04-09-2025,Kerala,Kozhikode,673104,2,0,0
04-09-2025,Kerala,Kozhikode,673509,1,0,0
08-09-2025,Kerala,Kozhikode,673017,0,1,0
08-09-2025,Kerala,Kozhikode,673104,1,2,0
08-09-2025,Kerala,Kozhikode,673304,1,3,0
08-09-2025,Kerala,Kozhikode,673306,2,2,0
08-09-2025,Kerala,Kozhikode,673507,2,0,0
08-09-2025,Kerala,Kozhikode,673523,2,0,0
08-09-2025,Kerala,Kozhikode,673611,1,0,0
08-09-2025,Kerala,Kozhikode,673612,1,0,0
08-09-2025,Kerala,Kozhikode,673613,2,0,0
08-09-2025,Kerala,Kozhikode,673620,2,0,0
08-09-2025,Kerala,Kozhikode,673631,1,1,0
09-09-2025,Kerala,Kozhikode,673011,1,0,0
09-09-2025,Kerala,Kozhikode,673105,2,0,0
09-09-2025,Kerala,Kozhikode,673304,0,1,0
09-09-2025,Kerala,Kozhikode,673513,1,1,0
09-09-2025,Kerala,Kozhikode,673525,4,1,0
09-09-2025,Kerala,Kozhikode,673541,3,1,0
09-09-2025,Kerala,Kozhikode,673571,5,0,0
09-09-2025,Kerala,Kozhikode,673574,0,1,0
09-09-2025,Kerala,Kozhikode,673631,3,0,0
10-09-2025,Kerala,Kozhikode,673012,1,0,0
10-09-2025,Kerala,Kozhikode,673029,1,0,0
10-09-2025,Kerala,Kozhikode,673307,1,0,0
10-09-2025,Kerala,Kozhikode,673509,0,2,0
10-09-2025,Kerala,Kozhikode,673529,2,1,0
10-09-2025,Kerala,Kozhikode,673573,3,3,0
10-09-2025,Kerala,Kozhikode,673586,3,1,0
10-09-2025,Kerala,Kozhikode,673611,2,0,0
11-09-2025,Kerala,Kozhikode,673003,1,4,0
11-09-2025,Kerala,Kozhikode,673007,1,0,0
11-09-2025,Kerala,Kozhikode,673104,0,1,0
11-09-2025,Kerala,Kozhikode,673307,4,0,0
11-09-2025,Kerala,Kozhikode,673523,1,0,0
11-09-2025,Kerala,Kozhikode,673571,2,3,0
11-09-2025,Kerala,Kozhikode,673573,2,1,0
11-09-2025,Kerala,Kozhikode,673582,3,0,0
11-09-2025,Kerala,Kozhikode,673603,1,0,0
11-09-2025,Kerala,Kozhikode,673613,3,0,0
13-09-2025,Kerala,Kozhikode,673008,1,0,0
13-09-2025,Kerala,Kozhikode,673012,1,0,0
13-09-2025,Kerala,Kozhikode,673015,1,1,0
13-09-2025,Kerala,Kozhikode,673106,0,1,0
13-09-2025,Kerala,Kozhikode,673508,1,0,0
13-09-2025,Kerala,Kozhikode,673525,2,0,0
13-09-2025,Kerala,Kozhikode,673572,5,2,0
13-09-2025,Kerala,Kozhikode,673611,1,0,0
12-09-2025,Kerala,Kozhikode,673003,1,1,0
12-09-2025,Kerala,Kozhikode,673103,1,0,0
12-09-2025,Kerala,Kozhikode,673503,1,0,0
12-09-2025,Kerala,Kozhikode,673523,1,0,0
12-09-2025,Kerala,Kozhikode,673526,1,0,0
12-09-2025,Kerala,Kozhikode,673573,2,1,0
12-09-2025,Kerala,Kozhikode,673604,1,0,0
12-09-2025,Kerala,Kozhikode,673639,1,0,0
12-09-2025,Kerala,Kozhikode,673661,1,2,0
15-09-2025,Kerala,Kozhikode,673002,0,1,0
15-09-2025,Kerala,Kozhikode,673011,0,1,0
15-09-2025,Kerala,Kozhikode,673103,0,1,0
15-09-2025,Kerala,Kozhikode,673508,1,2,0
15-09-2025,Kerala,Kozhikode,673524,1,0,0
15-09-2025,Kerala,Kozhikode,673616,1,0,0
15-09-2025,Kerala,Kozhikode,673631,0,1,0
16-09-2025,Kerala,Kozhikode,673003,1,0,0
16-09-2025,Kerala,Kozhikode,673004,1,0,0
16-09-2025,Kerala,Kozhikode,673019,2,0,0
16-09-2025,Kerala,Kozhikode,673317,1,0,0
16-09-2025,Kerala,Kozhikode,673523,0,1,0
16-09-2025,Kerala,Kozhikode,673524,1,0,0
16-09-2025,Kerala,Kozhikode,673602,1,0,0
16-09-2025,Kerala,Kozhikode,673614,0,1,0
16-09-2025,Kerala,Kozhikode,673620,3,0,0
17-09-2025,Kerala,Kozhikode,673016,0,1,0
17-09-2025,Kerala,Kozhikode,673029,1,0,0
17-09-2025,Kerala,Kozhikode,673328,1,0,0
17-09-2025,Kerala,Kozhikode,673521,1,0,0
17-09-2025,Kerala,Kozhikode,673527,1,0,0
17-09-2025,Kerala,Kozhikode,673574,2,1,0
17-09-2025,Kerala,Kozhikode,673585,1,0,0
17-09-2025,Kerala,Kozhikode,673615,1,0,0
17-09-2025,Kerala,Kozhikode,673631,2,2,0
20-09-2025,Kerala,Kozhikode,673003,2,0,0
20-09-2025,Kerala,Kozhikode,673008,2,0,0
20-09-2025,Kerala,Kozhikode,673102,1,1,0
20-09-2025,Kerala,Kozhikode,673105,1,0,0
20-09-2025,Kerala,Kozhikode,673306,0,1,0
